,Time,xVolt,yVolt
0,0,1653,1656
1,1,1653,1646
2,2,1653,1650
3,2,1650,1643
4,3,1662,1646
5,4,1643,1653
6,5,1650,1656
7,6,1656,1653
8,7,1659,1653
9,9,1656,1659
10,12,1646,1653
11,14,1653,1656
12,17,1650,1646
13,20,1646,1653
14,22,1653,1656
15,24,1669,1659
16,26,1659,1656
17,29,1637,1659
18,31,1650,1650
19,33,1656,1653
20,36,1650,1653
21,38,1637,1662
22,40,1656,1656
23,43,1669,1672
24,45,1656,1659
25,47,1650,1659
26,50,1646,1646
27,52,1653,1643
28,54,1659,1646
29,58,1659,1653
30,60,1653,1659
31,62,1659,1646
32,65,1650,1656
33,67,1646,1633
34,69,1659,1656
35,72,1650,1650
36,74,1650,1656
37,76,1650,1653
38,79,1650,1656
39,81,1646,1643
40,83,1650,1646
41,86,1643,1662
42,88,1656,1662
43,90,1666,1662
44,93,1650,1659
45,95,1650,1656
46,97,1646,1662
47,101,1646,1659
48,103,1650,1650
49,106,1662,1650
50,108,1653,1650
51,110,1656,1650
52,113,1643,1650
53,115,1646,1646
54,118,1643,1656
55,120,1656,1653
56,123,1662,1650
57,125,1656,1662
58,128,1659,1659
59,130,1646,1646
60,133,1646,1653
61,135,1662,1653
62,138,1653,1653
63,140,1659,1653
64,144,1659,1662
65,146,1637,1656
66,149,1646,1653
67,151,1669,1662
68,154,1656,1656
69,156,1659,1653
70,159,1662,1640
71,161,1653,1650
72,164,1653,1650
73,166,1662,1656
74,169,1659,1656
75,171,1653,1659
76,174,1646,1662
77,176,1646,1653
78,179,1643,1659
79,181,1650,1646
80,184,1653,1650
81,187,1646,1650
82,190,1653,1659
83,192,1646,1662
84,195,1656,1662
85,197,1653,1659
86,200,1646,1653
87,202,1643,1653
88,205,1659,1650
89,207,1633,1653
90,210,1666,1656
91,212,1666,1653
92,215,1650,1653
93,217,1640,1650
94,220,1656,1650
95,222,1653,1659
96,225,1646,1662
97,227,1640,1656
98,231,1646,1656
99,233,1650,1643
100,236,1653,1646
101,238,1650,1653
102,240,1646,1662
103,243,1656,1653
104,245,1659,1659
105,248,1646,1656
106,250,1653,1650
107,253,1653,1646
108,255,1662,1662
109,258,1643,1659
110,260,1653,1662
111,263,1646,1643
112,265,1646,1653
113,268,1650,1653
114,270,1653,1650
115,274,1653,1656
116,276,1653,1653
117,279,1656,1650
118,281,1637,1656
119,284,1653,1650
120,286,1646,1653
121,289,1650,1656
122,291,1659,1656
123,294,1656,1643
124,296,1659,1659
125,299,1656,1646
126,301,1656,1653
127,304,1646,1653
128,306,1662,1656
129,309,1653,1646
130,311,1643,1656
131,315,1650,1650
132,317,1650,1643
133,320,1643,1643
134,322,1650,1659
135,325,1646,1659
136,327,1659,1650
137,330,1650,1662
138,332,1646,1656
139,335,1646,1640
140,337,1650,1656
141,340,1656,1659
142,342,1659,1656
143,345,1659,1659
144,347,1672,1650
145,350,1646,1643
146,352,1656,1656
147,355,1650,1659
148,358,1659,1659
149,361,1656,1653
150,363,1650,1650
151,366,1637,1659
152,368,1646,1650
153,370,1653,1653
154,373,1653,1656
155,375,1653,1653
156,378,1653,1659
157,380,1650,1650
158,383,1646,1640
159,385,1646,1646
160,388,1653,1653
161,390,1659,1653
162,393,1650,1659
163,395,1656,1650
164,398,1646,1643
165,401,1637,1662
166,404,1662,1650
167,406,1643,1646
168,409,1653,1650
169,411,1656,1653
170,414,1662,1646
171,416,1646,1653
172,419,1659,1656
173,421,1646,1656
174,424,1650,1659
175,426,1643,1662
176,429,1656,1650
177,431,1650,1653
178,434,1650,1650
179,436,1643,1656
180,439,1653,1643
181,442,1646,1659
182,445,1646,1659
183,447,1640,1653
184,450,1646,1650
185,452,1650,1656
186,455,1650,1653
187,457,1662,1662
188,460,1653,1653
189,462,1656,1653
190,465,1650,1653
191,467,1650,1656
192,470,1646,1653
193,472,1656,1659
194,475,1656,1650
195,477,1646,1646
196,480,1656,1650
197,482,1653,1646
198,486,1653,1653
199,488,1653,1656
200,491,1653,1662
201,493,1653,1650
202,496,1650,1656
203,498,1646,1643
204,500,1646,1666
205,503,1640,1659
206,505,1646,1650
207,508,1643,1653
208,510,1650,1643
209,513,1653,1646
210,515,1646,1659
211,518,1646,1653
212,520,1653,1656
213,523,1650,1659
214,525,1640,1656
215,529,1643,1656
216,531,1656,1659
217,534,1643,1650
218,536,1653,1659
219,539,1656,1650
220,541,1646,1650
221,544,1662,1646
222,546,1637,1653
223,549,1650,1656
224,551,1650,1646
225,554,1646,1650
226,556,1662,1653
227,559,1656,1656
228,561,1650,1656
229,564,1643,1656
