,Time,xVolt,yVolt
0,0,1656,1669
1,1,1653,1653
2,2,1672,1650
3,2,1669,1650
4,3,1659,1659
5,4,1659,1653
6,5,1662,1650
7,6,1659,1656
8,7,1656,1653
9,9,1656,1662
10,12,1650,1659
11,15,1662,1650
12,17,1650,1666
13,19,1653,1662
14,22,1659,1650
15,24,1643,1659
16,26,1662,1643
17,29,1643,1633
18,31,1659,1643
19,33,1653,1643
20,36,1669,1630
21,38,1653,1650
22,40,1653,1650
23,43,1646,1637
24,45,1653,1633
25,47,1656,1650
26,50,1662,1637
27,52,1659,1637
28,54,1656,1653
29,58,1666,1637
30,60,1669,1643
31,62,1653,1640
32,65,1659,1653
33,67,1650,1646
34,69,1659,1653
35,72,1662,1662
36,74,1672,1646
37,76,1662,1653
38,79,1656,1646
39,81,1666,1659
40,83,1653,1672
41,86,1659,1672
42,88,1653,1675
43,90,1650,1669
44,93,1646,1662
45,95,1650,1656
46,97,1656,1669
47,101,1650,1659
48,103,1656,1666
49,105,1650,1666
50,108,1646,1659
51,110,1643,1656
52,113,1640,1659
53,115,1646,1643
54,118,1650,1653
55,120,1653,1643
56,123,1656,1646
57,125,1637,1650
58,128,1656,1637
59,130,1650,1646
60,133,1653,1640
61,135,1650,1640
62,138,1650,1650
63,140,1633,1643
64,144,1640,1646
65,146,1633,1640
66,149,1646,1646
67,151,1653,1643
68,154,1650,1653
69,156,1640,1650
70,159,1650,1653
71,161,1650,1643
72,164,1659,1653
73,166,1650,1656
74,169,1666,1656
75,171,1653,1662
76,174,1656,1662
77,176,1659,1659
78,179,1662,1656
79,181,1659,1656
80,185,1666,1662
81,187,1672,1656
82,190,1672,1656
83,192,1656,1662
84,195,1653,1662
85,197,1653,1650
86,200,1662,1653
87,202,1659,1653
88,205,1653,1643
89,207,1659,1640
90,210,1659,1633
91,212,1643,1633
92,215,1653,1643
93,217,1659,1640
94,220,1653,1640
95,222,1653,1630
96,225,1656,1637
97,228,1666,1630
98,231,1656,1624
99,233,1653,1640
100,236,1659,1643
101,238,1675,1633
102,240,1675,1643
103,243,1656,1650
104,245,1666,1643
105,248,1653,1650
106,250,1659,1646
107,253,1666,1650
108,255,1669,1650
109,258,1656,1656
110,260,1662,1643
111,263,1659,1659
112,265,1653,1650
113,268,1659,1656
114,271,1653,1650
115,274,1653,1643
116,276,1666,1659
117,279,1653,1666
118,281,1653,1650
119,284,1659,1646
120,286,1662,1653
121,289,1662,1646
122,291,1666,1646
123,294,1653,1643
124,296,1659,1643
125,299,1653,1637
126,301,1659,1643
127,304,1659,1646
128,306,1659,1627
129,309,1662,1627
130,312,1659,1640
131,315,1653,1646
132,317,1656,1643
133,320,1666,1646
134,322,1672,1646
135,325,1662,1656
136,327,1656,1643
137,330,1659,1643
138,332,1656,1646
139,335,1659,1643
140,337,1659,1643
141,340,1662,1646
142,342,1659,1656
143,345,1653,1653
144,347,1659,1666
145,350,1650,1659
146,352,1662,1662
147,356,1653,1669
148,358,1656,1656
149,361,1653,1656
150,363,1650,1656
151,366,1650,1653
152,368,1650,1659
153,370,1650,1666
154,373,1653,1659
155,375,1653,1656
156,378,1637,1659
157,380,1656,1669
158,383,1650,1662
159,385,1653,1650
160,388,1646,1659
161,390,1653,1653
162,393,1643,1662
163,395,1640,1650
164,399,1643,1662
165,401,1650,1662
166,404,1646,1653
167,406,1643,1662
168,409,1650,1643
169,411,1662,1662
170,414,1659,1650
171,416,1659,1637
172,419,1666,1653
173,421,1666,1633
174,424,1659,1637
175,426,1653,1640
176,429,1653,1630
177,431,1666,1646
178,434,1662,1643
179,436,1643,1650
180,440,1646,1643
181,442,1643,1653
182,445,1640,1640
183,447,1640,1646
184,450,1646,1646
185,452,1643,1653
186,455,1646,1646
187,457,1646,1646
188,460,1646,1650
189,462,1656,1646
190,465,1640,1653
191,467,1640,1669
192,470,1656,1656
193,472,1656,1653
194,475,1646,1646
195,477,1643,1643
196,480,1643,1643
197,483,1640,1650
198,486,1643,1633
199,488,1643,1643
200,491,1646,1646
201,493,1640,1637
202,496,1640,1646
203,498,1646,1656
204,500,1653,1653
205,503,1643,1659
206,505,1653,1653
207,508,1656,1646
208,510,1653,1646
209,513,1659,1637
210,515,1650,1656
211,518,1669,1662
212,520,1688,1646
213,523,1682,1659
214,526,1679,1656
215,529,1669,1637
216,531,1672,1646
217,534,1685,1653
218,536,1691,1659
219,539,1688,1656
220,541,1685,1669
221,544,1685,1662
222,546,1669,1653
223,549,1688,1653
224,551,1691,1646
225,554,1688,1653
226,556,1675,1643
227,559,1675,1633
228,561,1675,1646
229,564,1675,1643
230,566,1662,1646
231,570,1656,1650
232,572,1662,1653
233,575,1653,1646
234,577,1646,1633
235,580,1662,1646
236,582,1650,1617
237,585,1666,1627
238,587,1653,1633
239,590,1643,1650
240,592,1650,1633
241,595,1653,1637
242,597,1666,1640
243,600,1650,1646
244,602,1650,1653
245,605,1656,1656
246,607,1666,1646
247,611,1675,1646
248,613,1637,1643
249,616,1669,1643
250,618,1691,1662
251,621,1685,1650
252,623,1682,1666
253,626,1675,1659
254,628,1682,1656
255,630,1662,1669
256,633,1650,1679
257,635,1637,1666
258,638,1633,1666
259,640,1643,1675
260,643,1662,1653
261,645,1646,1643
262,648,1637,1646
263,650,1627,1630
264,654,1633,1630
265,656,1630,1640
266,659,1627,1624
267,661,1620,1608
268,664,1627,1630
269,666,1640,1633
270,669,1643,1650
271,671,1656,1646
272,674,1653,1637
273,676,1650,1640
274,679,1637,1637
275,681,1650,1637
276,684,1656,1624
277,686,1624,1633
278,689,1630,1637
279,691,1624,1637
280,694,1633,1611
281,697,1617,1627
282,700,1620,1633
283,702,1637,1633
284,705,1646,1633
285,707,1653,1637
286,710,1633,1637
287,712,1643,1646
288,715,1643,1662
289,717,1640,1669
290,720,1650,1656
291,722,1637,1669
292,725,1640,1666
293,727,1646,1666
294,730,1633,1672
295,732,1653,1666
296,735,1656,1675
297,737,1656,1685
298,741,1675,1679
299,743,1662,1669
300,746,1669,1679
301,748,1646,1662
302,751,1650,1679
303,753,1656,1669
304,756,1653,1662
305,758,1643,1672
306,760,1640,1675
307,763,1630,1672
308,765,1633,1672
309,768,1637,1685
310,770,1630,1679
