,Time,XAxis,YAxis
0,0,1656,1650
1,1,1662,1646
2,2,1653,1646
3,3,1646,1646
4,3,1656,1646
5,4,1653,1646
6,5,1666,1650
7,6,1646,1650
8,7,1643,1640
9,8,1646,1646
10,9,1643,1640
11,9,1646,1650
12,10,1653,1650
13,11,1643,1656
14,12,1656,1650
15,13,1656,1653
16,14,1653,1653
17,15,1640,1662
18,15,1646,1659
19,16,1643,1662
20,18,1637,1656
21,19,1650,1653
22,21,1662,1646
23,22,1650,1656
24,23,1659,1640
25,24,1650,1653
26,26,1653,1656
27,27,1650,1662
28,28,1646,1656
29,29,1650,1656
30,30,1653,1666
31,31,1646,1662
32,33,1646,1656
33,34,1650,1656
34,35,1643,1653
35,36,1643,1659
36,37,1646,1646
37,38,1656,1650
38,40,1646,1656
39,41,1643,1653
40,42,1656,1653
41,43,1646,1650
42,44,1650,1656
43,45,1653,1659
44,46,1640,1650
45,48,1653,1646
46,49,1646,1656
47,50,1643,1662
48,51,1646,1646
49,52,1659,1650
50,53,1659,1662
51,55,1640,1659
52,56,1643,1653
53,57,1646,1653
54,58,1637,1646
55,59,1650,1656
56,60,1643,1656
57,62,1656,1656
58,64,1653,1653
59,65,1650,1659
60,66,1650,1656
61,67,1653,1662
62,68,1653,1643
63,70,1643,1646
64,71,1646,1646
65,72,1650,1659
66,73,1630,1653
67,74,1650,1659
68,75,1650,1650
69,77,1653,1656
70,78,1646,1653
71,79,1646,1656
72,80,1659,1633
73,81,1659,1653
74,82,1659,1653
75,84,1646,1650
76,85,1650,1653
77,86,1650,1656
78,87,1646,1650
79,88,1643,1653
80,89,1643,1653
81,90,1643,1653
82,92,1659,1646
83,93,1646,1653
84,94,1643,1666
85,95,1643,1659
86,96,1650,1659
87,97,1653,1656
88,99,1653,1656
89,100,1653,1662
90,101,1650,1646
91,102,1643,1659
92,104,1640,1650
93,106,1643,1643
94,107,1650,1646
95,108,1643,1656
96,109,1650,1643
97,111,1653,1656
98,112,1643,1650
99,113,1659,1662
100,114,1656,1656
101,116,1646,1669
102,117,1646,1653
103,118,1637,1653
104,119,1656,1653
105,121,1659,1646
106,122,1643,1643
107,123,1653,1650
108,124,1653,1643
109,126,1646,1656
110,127,1653,1659
111,128,1656,1646
112,129,1646,1659
113,131,1643,1646
114,132,1656,1659
115,133,1653,1662
116,134,1640,1659
117,136,1646,1650
118,137,1643,1662
119,138,1653,1653
120,139,1650,1656
121,141,1653,1653
122,142,1646,1653
123,143,1643,1646
124,144,1643,1656
125,146,1643,1650
126,147,1650,1650
127,149,1656,1653
128,150,1646,1653
129,152,1637,1650
130,153,1646,1643
131,154,1637,1650
132,155,1643,1650
133,157,1650,1646
134,158,1643,1656
135,159,1650,1646
136,160,1653,1646
137,162,1659,1646
138,163,1653,1646
139,164,1653,1659
140,165,1650,1650
141,167,1659,1653
142,168,1643,1650
143,169,1640,1656
144,170,1637,1650
145,172,1646,1643
146,173,1650,1640
147,174,1643,1637
148,175,1650,1646
149,176,1643,1659
150,178,1646,1640
151,179,1650,1643
152,180,1656,1653
153,181,1659,1653
154,183,1653,1653
155,184,1646,1646
156,185,1646,1643
157,186,1640,1646
158,188,1646,1653
159,189,1637,1653
160,190,1643,1643
161,192,1640,1650
162,194,1656,1653
163,195,1662,1659
164,196,1653,1650
165,197,1643,1653
166,199,1640,1659
167,200,1637,1643
168,201,1656,1653
169,202,1640,1653
170,204,1637,1653
171,205,1653,1662
172,206,1650,1646
173,207,1650,1646
174,209,1650,1662
175,210,1640,1650
176,211,1656,1659
177,212,1643,1650
178,214,1650,1646
179,215,1646,1646
180,216,1640,1653
181,217,1640,1653
182,219,1640,1653
183,220,1643,1656
184,221,1656,1656
185,222,1640,1643
186,224,1650,1643
187,225,1643,1650
188,226,1650,1656
189,227,1646,1666
190,229,1656,1666
191,230,1640,1650
192,231,1646,1666
193,232,1656,1646
194,235,1659,1643
195,236,1643,1646
196,237,1640,1653
197,238,1643,1646
198,239,1656,1659
199,241,1646,1653
200,242,1653,1650
201,243,1646,1653
202,244,1646,1653
203,246,1637,1653
204,247,1637,1646
205,248,1646,1646
206,249,1640,1650
207,251,1646,1653
208,252,1646,1656
209,253,1643,1646
210,254,1650,1656
211,256,1646,1646
212,257,1643,1646
213,258,1656,1666
214,259,1650,1656
215,261,1643,1653
216,262,1650,1646
217,263,1656,1646
218,264,1656,1659
219,266,1640,1640
220,267,1662,1646
221,268,1653,1656
222,269,1650,1640
223,271,1637,1650
224,272,1643,1650
225,273,1637,1650
226,274,1643,1659
227,277,1646,1662
228,278,1656,1656
229,279,1643,1666
230,280,1662,1659
231,282,1653,1656
232,283,1653,1650
233,284,1640,1643
234,285,1640,1650
235,287,1646,1653
236,288,1640,1659
237,289,1640,1653
238,290,1653,1646
239,292,1646,1653
240,293,1640,1643
241,294,1643,1653
242,295,1650,1656
243,297,1650,1650
244,298,1656,1650
245,299,1643,1656
246,300,1646,1656
247,302,1646,1653
248,303,1650,1643
249,304,1646,1646
250,305,1646,1659
251,306,1640,1656
252,308,1650,1650
253,309,1656,1659
254,310,1656,1646
255,311,1643,1656
256,313,1653,1656
257,314,1650,1650
258,315,1653,1643
259,316,1646,1653
260,318,1646,1643
261,320,1653,1650
262,321,1643,1653
263,322,1650,1653
264,324,1650,1653
265,325,1640,1659
266,326,1643,1662
267,327,1643,1662
268,329,1646,1646
269,330,1643,1650
270,331,1659,1659
271,332,1646,1656
272,334,1646,1653
273,335,1643,1646
274,336,1653,1646
275,337,1656,1640
276,339,1646,1637
277,340,1650,1646
278,341,1650,1643
279,342,1646,1656
280,344,1656,1646
281,345,1659,1643
282,346,1653,1653
283,347,1643,1646
284,349,1643,1666
285,350,1653,1669
286,351,1643,1656
287,352,1637,1653
288,354,1643,1650
289,355,1650,1643
290,356,1637,1653
291,357,1646,1656
292,359,1646,1653
293,360,1653,1653
294,362,1656,1646
295,363,1640,1646
296,365,1650,1659
297,366,1653,1659
298,367,1646,1656
299,368,1656,1656
300,369,1643,1653
301,371,1653,1640
302,372,1646,1643
303,373,1659,1650
304,374,1637,1656
305,376,1653,1659
306,377,1650,1646
307,378,1646,1659
308,379,1646,1662
309,381,1656,1643
310,382,1646,1662
311,383,1643,1650
312,384,1640,1656
313,386,1646,1653
314,387,1656,1650
315,388,1646,1643
316,389,1646,1646
317,391,1653,1653
318,392,1646,1659
319,393,1653,1666
320,394,1659,1653
321,396,1646,1653
322,397,1643,1656
323,398,1643,1650
324,399,1659,1650
325,401,1650,1656
326,402,1650,1646
327,403,1637,1646
328,405,1650,1656
329,407,1653,1653
330,408,1640,1659
331,409,1643,1646
332,410,1650,1653
333,412,1656,1650
