,Time,xVolt,yVolt,XAxis,YAxis
0,0,,,1633,1637
1,1,,,1630,1643
2,2,,,1633,1640
3,3,,,1643,1630
4,3,,,1637,1646
5,4,,,1630,1646
6,5,,,1650,1640
7,6,,,1653,1640
8,8,,,1646,1646
9,10,,,1643,1643
10,12,,,1637,1640
11,14,,,1646,1643
12,17,,,1646,1640
13,19,,,1650,1643
14,22,,,1653,1653
15,25,,,1656,1643
16,27,,,1656,1656
17,29,,,1653,1646
18,32,,,1656,1646
19,34,,,1659,1643
20,36,,,1656,1640
21,39,,,1666,1650
22,41,,,1662,1662
23,43,,,1656,1662
24,46,,,1653,1656
25,48,,,1659,1650
26,50,,,1653,1656
27,53,,,1666,1653
28,55,,,1656,1666
29,57,,,1659,1659
30,59,,,1653,1662
31,62,,,1662,1666
32,65,,,1637,1669
33,67,,,1659,1659
34,70,,,1646,1672
35,72,,,1659,1669
36,74,,,1653,1669
37,77,,,1643,1669
38,79,,,1650,1669
39,81,,,1643,1650
40,84,,,1662,1656
41,86,,,1646,1675
42,88,,,1640,1679
43,91,,,1643,1662
44,93,,,1640,1675
45,95,,,1646,1656
46,98,,,1646,1666
47,100,,,1637,1656
48,102,,,1646,1659
49,106,,,1650,1659
50,108,,,1643,1662
51,111,,,1640,1650
52,113,,,1630,1643
53,116,,,1630,1659
54,118,,,1640,1646
55,121,,,1630,1659
56,123,,,1627,1650
57,126,,,1646,1650
58,128,,,1653,1643
59,131,,,1643,1646
60,133,,,1643,1643
61,136,,,1650,1656
62,138,,,1646,1646
63,141,,,1640,1653
64,143,,,1646,1640
65,146,,,1633,1643
66,149,,,1646,1646
67,152,,,1633,1650
68,154,,,1633,1640
69,157,,,1646,1640
70,159,,,1643,1633
71,162,,,1643,1630
72,164,,,1643,1630
73,167,,,1646,1624
74,169,,,1646,1643
75,172,,,1637,1640
76,174,,,1650,1640
77,177,,,1662,1633
78,179,,,1650,1650
79,182,,,1653,1640
80,184,,,1656,1646
81,187,,,1653,1650
82,189,,,1659,1646
83,193,,,1659,1646
84,195,,,1653,1659
85,198,,,1653,1659
86,200,,,1656,1653
87,203,,,1650,1659
88,205,,,1656,1662
89,208,,,1656,1653
90,210,,,1659,1659
91,213,,,1659,1659
92,215,,,1653,1662
93,218,,,1650,1659
94,220,,,1656,1662
95,223,,,1640,1659
96,225,,,1650,1669
97,228,,,1640,1666
98,230,,,1640,1672
99,232,,,1633,1646
100,236,,,1640,1659
101,238,,,1640,1669
102,241,,,1637,1672
103,243,,,1646,1669
104,246,,,1637,1656
105,248,,,1646,1653
106,251,,,1643,1669
107,253,,,1630,1672
108,256,,,1659,1666
109,258,,,1646,1662
110,261,,,1637,1659
111,263,,,1640,1653
112,266,,,1633,1662
113,268,,,1646,1643
114,271,,,1643,1640
115,273,,,1643,1640
116,277,,,1650,1666
117,279,,,1637,1650
118,282,,,1653,1643
119,284,,,1646,1659
120,287,,,1653,1643
121,289,,,1650,1643
122,292,,,1656,1643
123,294,,,1653,1640
124,297,,,1646,1633
125,299,,,1650,1640
126,302,,,1650,1637
127,304,,,1666,1640
128,307,,,1653,1637
129,309,,,1653,1646
130,312,,,1637,1633
131,314,,,1646,1633
132,317,,,1646,1633
133,320,,,1650,1643
134,323,,,1653,1640
135,325,,,1662,1640
136,328,,,1643,1633
137,330,,,1650,1637
138,333,,,1646,1650
139,335,,,1643,1656
140,338,,,1650,1643
141,340,,,1650,1646
142,343,,,1640,1656
143,345,,,1643,1643
144,348,,,1633,1650
145,350,,,1646,1643
146,353,,,1646,1653
147,355,,,1650,1669
148,358,,,1650,1637
149,360,,,1640,1656
150,363,,,1633,1653
151,366,,,1630,1662
152,368,,,1643,1666
153,371,,,1646,1662
