1	30051	100	
2	50021	75	30
1	85051	100	
2	104021	75	30
2	129951	75	100
2	150021	75	30
1	181051	100	
1	202051	100	
2	223021	85	30
2	250021	85	30
2	271951	85	100
1	293051	100	
1	315051	100	
2	334951	75	100
2	358051	100	
2	381951	85	100
1	411051	100	
2	437951	75	100
2	459021	85	30
2	479951	85	100
1	502051	100	
1	528051	100	
2	558021	85	30
2	586951	75	100
2	609021	75	30
1	639051	100	
1	661051	100	
2	686951	75	100
2	706951	85	100
2	736951	85	100
2	757021	85	30
1	785051	100	
1	814051	100	
2	839021	75	30
1	869051	100	
2	894951	85	100
2	930051	100	
2	950021	75	30
1	985051	100	
2	1004021	75	30
2	1029951	75	100
2	1050021	75	30
1	1081051	100	
1	1102051	100	
2	1123021	85	30
2	1150021	85	30
2	1171951	85	100
1	1193051	100	
1	1215051	100	
2	1234951	75	100
2	1258051	100	
2	1281951	85	100
1	1311051	100	
2	1337951	75	100
2	1359021	85	30
2	1379951	85	100
1	1402051	100	
1	1428051	100	
2	1458021	85	30
2	1486951	75	100
2	1509021	75	30
1	1539051	100	
1	1561051	100	
2	1586951	75	100
2	1606951	85	100
2	1636951	85	100
2	1657021	85	30
1	1685051	100	
1	1714051	100	
2	1739021	75	30
1	1769051	100	
2	1794951	85	100
